customer_id,avg_actual_delivery_seconds,number_of_orders
65,181.1111,9
208,180.6667,9
190,180.0000,6
215,179.8750,8
112,179.5000,6
46,179.4444,9
173,178.7143,7
135,178.6667,6
238,178.1429,7
177,177.0000,5
234,176.8182,11
309,175.4286,7
49,175.0000,12
304,174.8889,9
317,174.6364,11
24,174.2500,4
52,174.0000,5
160,172.5000,8
303,172.2500,4
165,171.6667,6
241,171.6000,5
100,171.2500,4
223,171.1429,7
25,170.3333,6
83,170.3333,3
319,169.1250,8
227,168.6250,8
151,167.8000,5
127,166.5000,4
275,166.4286,7
181,166.4000,5
311,166.3333,6
14,166.2500,12
279,165.4615,13
139,165.1667,6
149,164.1667,6
125,163.7500,8
163,163.6154,13
85,163.4286,7
16,163.2500,4
235,162.8000,10
180,162.5714,7
121,161.7000,10
21,161.1667,6
117,161.0000,5
26,160.8750,8
291,160.6000,5
314,160.1250,8
19,160.0000,3
99,159.4286,7
272,159.0000,10
263,158.5833,12
287,158.4000,10
133,156.3333,9
122,156.1333,15
313,156.0000,2
204,154.5000,4
15,154.4286,7
268,154.0000,10
82,154.0000,2
255,153.1429,7
183,153.0000,10
55,153.0000,3
166,152.7143,7
38,151.5000,8
145,151.3750,8
81,150.7143,7
206,150.5000,4
261,150.1667,6
216,149.9167,12
32,149.9000,10
256,149.8750,8
94,149.5000,10
277,149.3333,6
41,148.8000,5
90,148.7778,9
285,148.5714,7
214,148.3333,6
281,147.2857,7
140,147.2500,8
191,147.2000,5
174,146.9000,10
63,146.0000,7
107,146.0000,4
29,145.8571,7
302,145.3333,6
202,144.4286,7
240,144.0000,2
288,142.8000,5
87,142.3077,13
209,142.0000,4
230,141.8571,7
260,139.5000,10
120,139.4286,7
225,139.1000,10
9,138.6000,5
78,138.0000,7
184,137.1667,6
236,136.3333,6
274,135.7273,11
47,135.3333,6
70,135.0000,9
266,134.8333,12
79,134.5000,10
101,133.8750,8
210,133.7500,4
110,133.7143,7
106,133.5833,12
76,132.4000,5
218,132.3750,8
271,132.3000,10
222,132.0000,9
175,131.3077,13
84,129.8571,7
186,129.2000,10
316,129.0000,3
171,128.5000,6
213,128.4000,5
60,127.5714,7
298,127.3333,6
159,127.0000,6
318,126.6000,5
138,126.2857,7
284,125.9167,12
217,125.0000,3
257,124.9000,10
124,124.0000,14
242,123.8333,6
74,123.7500,8
88,123.4444,9
20,122.8000,5
307,121.8750,8
71,121.8333,12
96,121.5000,4
231,120.3750,8
154,119.6429,14
59,119.0769,13
248,118.7143,7
278,118.5714,7
58,118.4286,7
57,118.0000,8
3,117.8000,5
33,117.6000,5
157,117.4000,5
212,117.0000,3
294,115.6250,8
130,114.2500,8
45,114.0000,5
158,112.5000,6
188,112.3333,3
108,111.1667,12
137,109.6667,3
219,109.3333,9
136,108.8750,8
185,107.0000,9
189,106.8750,8
211,106.7500,4
50,106.4444,9
283,106.0000,5
308,105.6000,15
27,101.4000,5
196,100.0000,7
35,99.5000,10
170,93.8000,5
315,93.3750,8
161,93.0000,8
67,92.5000,4
276,91.9091,11
129,89.1429,7
306,81.5000,4
141,75.6667,3
232,75.3333,3
244,69.0000,3
150,55.6000,5
73,50.2000,5
1,39.0000,1
162,22.1667,6
